modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
CAT,0.7009439982059267,peso_kg,0.001878,0.1878,0.007806,-0.005742,0.01476,0.56,False,False
CAT,0.7009439982059267,bicarbonato_min,0.00111,0.111,0.00378,-0.003206,0.006574,0.44,False,False
CAT,0.7009439982059267,bilirrubina_media,0.000945,0.0945,0.003322,-0.002108,0.006648,0.424,False,False
CAT,0.7009439982059267,anchor_age,0.000581,0.0581,0.007172,-0.009464,0.0105,0.46,False,False
CAT,0.7009439982059267,gcs_min,0.00045,0.045,0.005713,-0.008586,0.00678,0.456,False,False
CAT,0.7009439982059267,creatinina_max,-0.000327,-0.0327,0.004087,-0.005723,0.00563,0.544,False,False
CAT,0.7009439982059267,contador_estancia_uci,-0.000364,-0.0364,0.002236,-0.003184,0.002586,0.572,False,False
CAT,0.7009439982059267,tp_max,-0.00155,-0.155,0.003053,-0.005998,0.001905,0.584,False,False
CAT,0.7009439982059267,plaquetas_min,-0.002088,-0.2088,0.007026,-0.010159,0.007396,0.584,False,False
NB,0.6907497748104638,gpt_max,0.033021,3.3021,0.004791,0.028592,0.040765,0.04,True,True
NB,0.6907497748104638,pf_min,0.030108,3.0108,0.010873,0.011366,0.038282,0.088,True,False
NB,0.6907497748104638,diuresis_ml_kg_6h,0.015479,1.5479,0.003748,0.011123,0.019945,0.06,True,False
NB,0.6907497748104638,rr_max,0.008739,0.8739,0.004902,0.001268,0.014942,0.152,True,False
NB,0.6907497748104638,temp_min,0.008112,0.8112,0.00352,0.002472,0.011825,0.12,True,False
NB,0.6907497748104638,ph_min,0.006985,0.6985,0.004631,0.00082,0.012191,0.16,True,False
NB,0.6907497748104638,spo2_min,0.006752,0.6752,0.006575,-0.004506,0.012829,0.236,False,False
NB,0.6907497748104638,lactato_max,0.006165,0.6165,0.00248,0.002747,0.009166,0.18,True,False
NB,0.6907497748104638,sofa_max,0.005289,0.5289,0.000789,0.004054,0.00609,0.184,True,False
NB,0.6907497748104638,hr_media,0.004717,0.4717,0.001201,0.003151,0.006559,0.08,True,False
NB,0.6907497748104638,ventilacion_invasiva_6h,0.004357,0.4357,0.002111,0.001034,0.006789,0.144,True,False
NB,0.6907497748104638,fio2_max,0.003641,0.3641,0.003083,0.000301,0.007462,0.24,True,False
NB,0.6907497748104638,tp_max,0.003392,0.3392,0.004002,-0.002986,0.007253,0.252,False,False
NB,0.6907497748104638,map_min,0.003037,0.3037,0.004665,-0.003557,0.008741,0.292,False,False
NB,0.6907497748104638,bicarbonato_min,0.002924,0.2924,0.002593,-0.000552,0.006703,0.2,False,False
NB,0.6907497748104638,bilirrubina_media,0.001839,0.1839,0.005514,-0.007435,0.006878,0.328,False,False
NB,0.6907497748104638,anchor_age,0.001559,0.1559,0.001516,-0.001084,0.002618,0.252,False,False
NB,0.6907497748104638,contador_estancia_uci,0.000825,0.0825,0.007233,-0.010708,0.009582,0.46,False,False
NB,0.6907497748104638,leucocitos_min,0.00038,0.038,0.000975,-0.000664,0.001973,0.42,False,False
NB,0.6907497748104638,gcs_min,0.000126,0.0126,0.000406,-0.000517,0.000551,0.44,False,False
NB,0.6907497748104638,gender,6e-06,0.0006,0.000204,-0.000309,0.000215,0.528,False,False
NB,0.6907497748104638,hemoglobina_min,-0.000303,-0.0303,0.000376,-0.000876,0.000138,0.648,False,False
NB,0.6907497748104638,glucemia_min,-0.00059,-0.059,0.001836,-0.003341,0.00169,0.524,False,False
NB,0.6907497748104638,peso_kg,-0.000694,-0.0694,0.001374,-0.002972,0.000775,0.62,False,False
NB,0.6907497748104638,plaquetas_min,-0.000796,-0.0796,0.000638,-0.001561,0.000225,0.672,False,False
NB,0.6907497748104638,creatinina_max,-0.000908,-0.0908,0.003493,-0.005243,0.002506,0.48,False,False
